Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2410,1938,986,50363.324219,0.019578
2,1000,0.2,0.2,50.0,1000,2396,1920,996,49016.812500,0.020320
3,1000,0.2,0.2,50.0,1000,2474,1953,997,48114.871094,0.020721
4,1000,0.2,0.2,50.0,1000,2416,1958,994,49148.121094,0.020225
5,1000,0.2,0.2,50.0,1000,2312,1874,999,48748.820312,0.020493
6,1000,0.2,0.2,50.0,1000,2484,2002,999,51081.234375,0.019557
7,1000,0.2,0.2,50.0,1000,2529,2010,996,50218.292969,0.019833
8,1000,0.2,0.2,50.0,1000,2318,1871,999,49296.531250,0.020265
9,1000,0.2,0.2,50.0,1000,2580,2056,994,49327.226562,0.020151
10,1000,0.2,0.2,50.0,1000,2420,1919,998,50241.371094,0.019864
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,2255,1135,361,50246.738281,0.007185
2,1000,0.5,0.2,50.0,1000,2260,1132,339,50420.820312,0.006723
3,1000,0.5,0.2,50.0,1000,2211,1079,330,49757.285156,0.006632
4,1000,0.5,0.2,50.0,1000,2287,1133,390,50739.972656,0.007686
5,1000,0.5,0.2,50.0,1000,2205,1105,375,48954.347656,0.007660
6,1000,0.5,0.2,50.0,1000,2258,1149,380,49927.121094,0.007611
7,1000,0.5,0.2,50.0,1000,2225,1124,328,49800.218750,0.006586
8,1000,0.5,0.2,50.0,1000,2258,1160,375,49862.300781,0.007521
9,1000,0.5,0.2,50.0,1000,2223,1108,358,49402.269531,0.007247
10,1000,0.5,0.2,50.0,1000,2211,1089,332,49487.710938,0.006709
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,2110,425,53,51934.820312,0.001021
2,1000,0.8,0.2,50.0,1000,2089,407,61,51279.210938,0.001190
3,1000,0.8,0.2,50.0,1000,2132,421,59,52280.484375,0.001129
